#{"t_start": 1701513492.7798083, "env_id": null}
r,l,t
1.796215,1915,1439.360487
1.797219,2511,1444.584759
1.798215,2416,1449.728594
2.312215,1820,1454.408758
1.797215,2016,1459.333313
1.804215,2512,1464.606764
-1.547424,288,1465.37141
1.796215,2114,1470.676051
1.801215,2514,1476.995234
1.796215,2410,1482.321651
-1.586224,270,1483.029908
-1.707824,189,1483.55253
1.796215,2416,1489.129982
1.800215,2512,1494.374024
1.796215,2310,1500.519705
-1.904824,169,1500.978119
1.796215,2415,1506.350187
1.842219,2474,1511.788779
-1.65138,967,1514.678328
-1.829424,288,1515.415177
-1.660796,653,1517.083342
-1.693141,766,1519.078021
2.07755,2361,1525.020213
-1.513024,312,1525.885004
1.883232,2271,1531.240432
-1.891288,175,1531.682205
-1.869424,213,1532.254554
-1.248426,569,1533.754858
2.365234,1571,1537.846147
-1.514153,1211,1541.275138
2.202238,2265,1546.36709
-1.639554,647,1548.005222
2.19953,2064,1553.064426
1.848545,2471,1558.496722
-1.028096,899,1561.301621
1.851539,2482,1566.623991
2.086525,1876,1571.307292
-1.406624,376,1572.269238
1.955218,2429,1577.457704
1.881527,2442,1582.803492
1.902522,2417,1588.628491
-1.715624,481,1589.872142
-1.901178,172,1590.325739
1.885515,2042,1595.349285
1.850557,2175,1600.488682
-1.400424,473,1601.709569
-1.805472,190,1602.240974
-1.379199,1446,1606.009984
2.036228,2408,1611.44771
1.82923,2308,1617.031482
-1.453986,583,1619.231579
1.836516,2309,1624.622721
-1.841201,176,1625.078708
-1.531424,298,1625.824178
2.343215,2117,1630.873149
1.809266,2415,1636.209145
-1.854656,183,1636.701344
-0.465973,1454,1640.893916
1.810215,2414,1646.682446
1.863522,2471,1652.191991
2.036566,2415,1657.453443
-1.81743,193,1658.629971
1.80422,2509,1663.924529
-1.86063,201,1664.422545
2.221215,2212,1669.534357
-1.871424,183,1669.99758
2.320236,2117,1675.046859
-1.700058,422,1676.093669
1.831218,2115,1681.047019
2.081262,2134,1686.301611
-1.579597,274,1687.650723
2.248565,2203,1693.099116
1.825219,2309,1698.513682
-0.900978,903,1700.746058
-1.414418,380,1701.765153
2.248261,2193,1707.105413
-1.657824,219,1708.24725
1.804227,2216,1713.762534
-1.421024,367,1714.6999
1.804215,2311,1720.153981
1.807215,2407,1725.60605
1.808215,2213,1730.726217
2.119215,2119,1735.930834
1.806215,2414,1741.383668
-1.483297,492,1743.176386
-1.690224,205,1743.804973
2.385226,1871,1748.689815
2.372536,2112,1754.247084
-1.614633,868,1756.610608
-1.455053,372,1757.638683
-1.84829,174,1758.141533
-1.28223,1690,1762.541635
1.864215,2361,1768.286509
2.17129,2368,1774.500481
-1.414073,389,1776.039935
-1.867968,216,1776.643179
-1.187824,514,1777.910941
2.003554,2118,1783.245183
-1.534624,296,1784.01931
1.999053,2012,1788.844553
2.127546,2417,1794.049764
2.072033,2367,1800.033868
2.050353,2265,1805.350684
-1.701624,501,1806.668929
-1.638624,611,1808.310165
1.859527,2362,1813.94926
1.856227,2263,1819.331161
1.854227,2172,1824.601954
-1.741224,375,1826.147724
-0.948275,2023,1830.978763
-1.756257,257,1831.614867
2.187586,2263,1836.848116
2.284335,2268,1842.417676
1.858515,2368,1847.82397
1.857222,2264,1853.15842
-0.797166,764,1855.882533
-1.802202,172,1856.348536
-0.65626,1241,1859.408156
1.858522,2269,1865.533781
1.997325,2219,1871.511032
2.284059,2268,1877.261039
1.884,2261,1882.796111
1.87859,2459,1888.326684
-1.732024,177,1888.842297
1.857215,2360,1894.284484
-1.610561,700,1896.530547
-1.899224,165,1896.95354
-1.096802,571,1898.351545
-1.307424,773,1900.276041
-1.720024,477,1901.492413
-1.729224,185,1902.489214
-1.883424,203,1903.020658
-1.509024,312,1903.801116
1.855215,2366,1909.357917
1.854515,2366,1914.928511
3.126576,1338,1918.738147
-1.272069,462,1919.94394
-1.884024,192,1920.446459
-1.611094,629,1922.129097
-1.414546,1313,1925.82245
1.929215,2460,1931.27279
-1.698579,492,1933.109166
-1.856678,195,1933.638911
-1.208658,2347,1938.928278
2.086277,2363,1944.263788
1.859516,2368,1949.703253
1.862549,2366,1955.15117
2.796521,1478,1959.186903
-1.886224,185,1959.7033
-1.831624,291,1960.456292
-1.218881,863,1963.149831
-0.684281,914,1965.48037
-1.202181,2231,1970.791692
-1.708824,199,1971.369886
-1.87101,180,1971.859505
-0.62151,917,1974.862914
-1.589138,319,1975.730738
-1.878624,206,1976.302322
-1.44057,376,1977.35053
-1.294794,463,1978.652304
-0.810834,1423,1982.768039
-1.685648,483,1984.060361
-0.923685,1747,1988.797313
1.878048,2061,1994.128402
-0.934581,1105,1997.502835
2.216576,1338,2000.852673
-0.596128,1348,2004.812137
2.400033,1966,2009.86278
1.900463,2466,2015.616048
-0.948034,1197,2019.103879
1.922591,2460,2024.589066
-1.813609,276,2025.26931
2.531576,1338,2029.266677
-1.420288,370,2030.233945
-0.796261,762,2032.194454
1.858521,2361,2038.082733
-1.705224,495,2039.343401
2.306521,1875,2044.173652
-1.612958,296,2044.964428
1.856521,2068,2050.517101
-1.042024,607,2052.134479
-1.785624,366,2053.203022
-1.701224,195,2053.757523
-0.945048,712,2056.296145
-1.749824,299,2057.137592
-0.623331,1331,2061.207608
-1.794024,167,2061.687412
-0.585416,1275,2065.024031
-1.670024,482,2066.31536
-1.201043,681,2068.472754
2.634183,1343,2071.470979
-1.305227,623,2073.506316
-1.058197,750,2075.291183
-1.586216,282,2075.975254
2.151174,2114,2080.819026
3.18322,1673,2084.924491
-0.289587,1389,2088.613886
1.856566,2370,2093.633826
-1.67923,480,2094.783508
2.401544,1624,2098.867252
-1.521424,308,2099.611318
2.946062,1345,2103.213033
1.852527,1584,2107.134698
1.856521,1774,2110.864198
1.891534,2227,2116.358448
1.848532,1975,2121.287876
2.396245,1682,2126.023051
1.853227,2271,2131.283419
2.436223,1872,2136.490106
-1.372624,401,2138.259784
1.850547,1584,2142.084416
-1.115439,707,2144.551412
1.899243,2470,2150.046156
1.88654,2460,2155.421603
2.174239,2369,2160.85803
1.946555,2367,2166.33331
2.268537,1482,2170.368421
2.307482,1343,2174.350652
1.935255,2471,2180.010533
1.868573,2467,2185.426618
1.991589,2173,2190.712182
-1.392887,461,2191.906058
1.859286,2467,2197.722439
2.795301,1338,2201.033459
1.894569,1875,2206.185352
-1.416979,812,2208.872861
1.908278,1817,2213.449966
2.255007,1866,2218.838523
-1.558224,295,2220.322529
-1.52461,768,2222.368268
1.852544,2176,2228.273571
1.906226,2215,2233.792501
2.090561,1886,2238.580686
-1.685424,208,2239.108968
-1.558624,281,2239.892208
-1.079624,581,2242.086167
1.854533,1984,2246.49222
1.917233,2368,2252.253124
1.879525,2464,2258.173735
1.877449,2464,2263.480599
1.796535,2315,2268.625866
2.329532,2117,2273.354619
1.796231,2017,2277.918692
2.911218,1516,2281.69718
-1.258624,476,2282.780978
1.796218,2014,2287.285893
2.135215,2012,2292.02556
1.796215,2512,2297.113292
1.796215,2312,2302.084398
2.141215,2316,2307.491987
1.796218,2512,2312.526911
1.796215,2308,2317.350845
1.796215,2013,2321.947715
1.796215,2309,2326.930582
1.796215,2416,2331.932292
1.800215,1921,2336.578537
1.908216,2408,2342.373379
1.797215,1915,2347.140005
1.798215,2412,2352.937001
1.797225,2310,2359.179158
1.796215,2309,2365.037103
1.798216,2513,2370.473104
2.019215,2408,2376.00499
1.806215,2111,2381.370913
